\outl0\strokewidth0 \strokec2 stid,station_name,lat,lon,elev,begints,endts,iem_network\
PVW,PLAINVIEW,34.1682,-101.7173,1028,1/1/73 0:00,,TX_ASOS\
PWG,Waco - McGregor Exec,31.4849,-97.3165,180,4/8/92 0:00,,TX_ASOS\
PYX,PERRYTON/OCHILTREE COUNTY APT,36.414,-100.75,889,1/21/03 0:00,,TX_ASOS\
RAS,PORT ARANSAS/MUSTANG BEACH ARPT,27.81,-97.09,2,6/23/04 0:00,,TX_ASOS\
RBD,DALLAS/REDBIRD ARPT,32.68,-96.87,201,7/13/84 0:00,,TX_ASOS\
RBO,ROBSTOWN,27.7785,-97.6905,24,10/30/03 0:00,,TX_ASOS\
RFI,Henderson,32.1417,-94.8517,134.7,7/21/08 0:00,,TX_ASOS\
RKP,ROCKPORT/ARANSAS CO,28.0836,-97.0464,8,1/1/84 0:00,,TX_ASOS\
RND,RANDOLPH AFB,29.53,-98.28,232,4/1/38 0:00,,TX_ASOS\
RPE,SABINE PASS,29.7,-93.95,3,10/1/86 0:00,12/9/10 0:00,TX_ASOS\
RPH,GRAHAM_MUNI_ARPT,33.11,-98.555,344,5/16/03 0:00,,TX_ASOS\
RWV,Caldwell,30.5155,-96.7041,119,7/1/80 0:00,,TX_ASOS\
RYW,Lago Vista,30.4967,-97.9659,375.2,4/11/08 0:00,,TX_ASOS\
SAT,SAN ANTONIO INTL,29.5337,-98.4698,242,3/9/34 0:00,,TX_ASOS\
SEP,STEPHENVILLE/CLARK,32.2153,-98.1777,402,7/15/40 0:00,,TX_ASOS\
SEQ,Seguin Randolph AFB,29.5658,-97.9083,161.40836,5/21/19 0:00,,TX_ASOS\
SGR,HOUSTON/HULL FIELD,29.6222,-95.6565,2,7/1/96 0:00,,TX_ASOS\
SHP,Sheppard AFB,33.9667,-98.4833,305.97263,8/18/21 0:00,,TX_ASOS\
SJT,SAN ANGELO/MATHIS,31.3517,-100.495,582,7/1/41 0:00,,TX_ASOS\
SKF,KELLY AFB,29.3842,-98.5811,210,7/7/37 0:00,,TX_ASOS\
SLR,SULPHUR_SPRINGS,33.16,-95.62,149,10/27/04 0:00,,TX_ASOS\
SNK,SNYDER,32.6934,-100.9505,741,7/8/03 0:00,,TX_ASOS\
SOA,SONORA MUNI,30.5857,-100.6486,652,7/23/04 0:00,,TX_ASOS\
SPL,South Padre Island,26.0706,-97.1572,3,3/17/76 0:00,1/2/17 0:00,TX_ASOS\
SPS,WICHITA FALLS/SHEP,33.9786,-98.4928,314,1/1/33 0:00,,TX_ASOS\
SSF,SAN ANTONIO/STINSON,29.337,-98.471,176,1/22/48 0:00,,TX_ASOS\
SWW,SWEETWATER/AVENGER FIELD AIRPORT,32.4674,-100.4666,727,2/1/45 0:00,,TX_ASOS\
T20,Gonzales,29.528,-97.4614,108.13235,5/2/13 0:00,,TX_ASOS\
T35,Cameron,30.8794,-96.9711,124.16077,4/17/12 0:00,,TX_ASOS\
T41,La Porte,29.6692,-95.0641,7,10/12/19 0:00,,TX_ASOS\
T65,WESLACO/MID VALLEY AIRPORT,26.1776,-97.9731,21,9/11/02 0:00,,TX_ASOS\
T69,Sinton,28.0386,-97.5425,17.970034,9/15/20 0:00,,TX_ASOS\
T70,Laughlin AFB,29.126,-100.481,297.54962,4/14/16 0:00,,TX_ASOS\
T74,Taylor,30.5726,-97.4432,174.38675,10/11/19 0:00,,TX_ASOS\
T77,Presidio,29.6341,-104.3616,889.2204,5/2/13 0:00,6/28/13 0:00,TX_ASOS\
T78,Liberty,30.0778,-94.6986,21.857124,8/21/21 0:00,,TX_ASOS\
T82,FREDERICKSBURG/GILLESPIE COUNTY,30.2432,-98.9092,517,6/6/02 0:00,,TX_ASOS\
T89,Castroville,29.3419,-98.8509,232.19913,2/22/08 0:00,,TX_ASOS\
TFP,Ingleside,27.913,-97.2115,5,1/25/07 0:00,,TX_ASOS\
TKI,MC KINNEY,33.18,-96.59,179,1/23/97 0:00,,TX_ASOS\
TME,Houston Exec,29.805,-95.8979,50.6,2/4/09 0:00,,TX_ASOS\
TPL,TEMPLE/MILLER(AWOS),31.1525,-97.4078,208,1/2/45 0:00,,TX_ASOS\
TRL,TERRELL,32.71,-96.27,145,5/31/97 0:00,,TX_ASOS\
TXW,Weslaco,26.1775,-97.9731,21.301573,8/2/18 0:00,,TX_ASOS\
TYR,TYLER/POUNDS FLD,32.3541,-95.4024,166,9/16/34 0:00,,TX_ASOS\
UTS,HUNTSVILLE MUNICIPAL AIRPORT,30.7469,-95.5872,112,2/28/97 0:00,,TX_ASOS\
UVA,UVALDE/GARNER_FIELD_ARPT,29.2113,-99.7436,287,10/9/03 0:00,,TX_ASOS\
VAF,Boomvang,27.3536,-94.6253,0,7/22/10 0:00,,TX_ASOS\
VCT,VICTORIA REGIONAL,28.8614,-96.9303,36,11/4/41 0:00,,TX_ASOS\
VHN,Van Horn,31.0578,-104.7838,1200.1992,8/5/20 0:00,,TX_ASOS\
XBP,Bridgeport,33.1753,-97.8284,259.7,2/28/04 0:00,,TX_ASOS\
},,,,,,,
