OBJECTID,GID,CMPTRL_NBR,CNTY_NM,DIST_NM,DPS_NBR,CNTY_FIPS,CNTY_NBR,DIST_NBR,MSA1990,MSA2000,MSA2010,GRID_OP,CREATE_DT,CREATE_NM,EDIT_DT,EDIT_NM,Shape__Area,Shape__Length,ERCOT_Weather_Region
208,196,172,Morris,Atlanta,172,48343,172,19,N,N,N,,,,,,954210345.6,194773.7229,x
209,197,116,Hunt,Paris,116,48231,117,1,Y,Y,Y,,,,,,3266819004,251179.7763,North Central
210,198,80,Franklin,Paris,80,48159,81,1,N,N,N,,,,,,1093207850,179594.9886,East
211,199,119,Jack,Fort Worth,119,48237,120,2,N,N,N,,,,,,3416516448,235432.2463,North Central
212,200,225,Titus,Atlanta,225,48449,225,19,N,N,N,,,,,,1583638395,250386.0044,East
213,201,60,Delta,Paris,60,48119,60,1,Y,Y,N,,,,,,1035238887,282718.5767,East
214,202,19,Bowie,Atlanta,19,48037,19,19,Y,Y,Y,,,,,,3441545710,496839.7219,x
215,203,138,Knox,Childress,138,48275,138,25,N,N,N,,,,,,3202874364,261968.0613,North
216,204,135,King,Childress,135,48269,135,25,N,N,N,,,,,,3421212649,234046.796,North
217,205,63,Dickens,Childress,63,48125,63,25,N,N,N,,,,,,3395903567,233108.8001,North
218,206,12,Baylor,Wichita Falls,12,48023,12,3,N,N,N,,,,,,3373168733,232360.1627,North
172,207,54,Crosby,Lubbock,54,48107,54,5,Y,Y,Y,,,,,,3374743330,232360.0964,North
173,208,152,Lubbock,Lubbock,152,48303,152,5,Y,Y,Y,,,,,,3371806286,232394.4336,x
174,209,5,Archer,Wichita Falls,5,48009,5,3,Y,Y,Y,,,,,,3465512588,235507.1294,North
175,210,110,Hockley,Lubbock,110,48219,111,5,N,N,N,,,,,,3403160823,233430.8832,x
176,211,40,Cochran,Lubbock,40,48079,40,5,N,N,N,,,,,,2903312074,216345.9129,x
177,212,74,Fannin,Paris,74,48147,75,1,N,N,N,,,,,,3365907284,279123.1835,North
178,213,49,Cooke,Wichita Falls,49,48097,49,3,N,N,N,,,,,,3354982079,353003.5873,North
179,214,91,Grayson,Paris,91,48181,92,1,Y,Y,Y,,,,,,3667681230,291834.542,North
180,215,169,Montague,Wichita Falls,169,48337,169,3,N,N,N,,,,,,3508767852,258606.2722,North
181,216,139,Lamar,Paris,139,48277,139,1,N,N,N,,,,,,3501977517,336755.1012,North
182,217,194,Red River,Paris,194,48387,194,1,N,N,N,,,,,,3961012683,437694.0875,North
183,218,39,Clay,Wichita Falls,39,48077,39,3,Y,Y,Y,,,,,,4173646269,296319.7433,North
184,219,243,Wichita,Wichita Falls,243,48485,243,3,Y,Y,Y,,,,,,2335792075,223210.0649,North
185,220,78,Foard,Childress,78,48155,79,25,N,N,N,,,,,,2659839698,284407.3735,North
186,221,51,Cottle,Childress,51,48101,51,25,N,N,N,,,,,,3411354066,247817.0778,North
187,222,173,Motley,Childress,173,48345,173,25,N,N,N,,,,,,3746055367,245128.6454,North
188,223,77,Floyd,Lubbock,77,48153,78,5,N,N,N,,,,,,3756650392,245576.6644,North
189,224,95,Hale,Lubbock,95,48189,96,5,N,N,N,,,,,,3801960826,247074.0988,x
235,225,140,Lamb,Lubbock,140,48279,140,5,N,N,N,,,,,,3851565978,248607.0912,x
236,226,9,Bailey,Lubbock,9,48017,9,5,N,N,N,,,,,,3131541695,226910.7235,x
237,227,244,Wilbarger,Wichita Falls,244,48487,244,3,N,N,N,,,,,,3699220745,310644.2061,North
238,228,99,Hardeman,Childress,99,48197,100,25,N,N,N,,,,,,2649489907,235488.4014,North
239,229,38,Childress,Childress,38,48075,38,25,N,N,N,,,,,,2730528736,210914.2998,North
240,230,96,Hall,Childress,96,48191,97,25,N,N,N,,,,,,3459169116,235238.1992,North
241,231,23,Briscoe,Childress,23,48045,23,25,N,N,N,,,,,,3451658661,234916.3772,North
242,232,219,Swisher,Lubbock,219,48437,219,5,N,N,N,,,,,,3450308077,234981.3629,x
243,233,35,Castro,Lubbock,35,48069,35,5,N,N,N,,,,,,3440259248,234806.7513,x
244,234,185,Parmer,Lubbock,185,48369,185,5,N,N,N,,,,,,3386260230,232708.0101,x
245,235,44,Collingsworth,Childress,44,48087,44,25,N,N,N,,,,,,3553308496,238378.3086,x
246,236,65,Donley,Childress,65,48129,65,25,N,N,N,,,,,,3606827342,240204.6238,x
247,237,6,Armstrong,Amarillo,6,48011,6,4,Y,Y,Y,,,,,,3525463004,237696.2798,x
225,238,191,Randall,Amarillo,191,48381,191,4,Y,Y,Y,,,,,,3565310039,238970.0131,x
226,239,59,Deaf Smith,Amarillo,59,48117,59,4,N,N,N,,,,,,5790766637,313127.0205,x
227,240,242,Wheeler,Childress,242,48483,242,25,N,N,N,,,,,,3575198592,239257.6314,x
228,241,90,Gray,Amarillo,90,48179,91,4,N,N,N,,,,,,3632224438,241077.2816,x
229,242,33,Carson,Amarillo,33,48065,33,4,Y,Y,Y,,,,,,3611034697,240247.5518,x
230,243,188,Potter,Amarillo,188,48375,188,4,Y,Y,Y,,,,,,3601822128,240101.3491,x
231,244,180,Oldham,Amarillo,180,48359,180,4,N,N,Y,,,,,,5865816142,315944.4555,x
232,245,106,Hemphill,Amarillo,106,48211,107,4,N,N,N,,,,,,3601831835,240039.616,x
233,246,197,Roberts,Amarillo,197,48393,197,4,N,N,N,,,,,,3647063327,241322.0545,x
234,247,117,Hutchinson,Amarillo,117,48233,118,4,N,N,N,,,,,,3534642251,237855.2698,x
253,248,171,Moore,Amarillo,171,48341,171,4,N,N,N,,,,,,3591983663,239678.7047,x
254,249,103,Hartley,Amarillo,103,48205,104,4,N,N,N,,,,,,5778071106,313709.4324,x
248,250,148,Lipscomb,Amarillo,148,48295,148,4,N,N,N,,,,,,3726065327,244164.2307,x
249,251,179,Ochiltree,Amarillo,179,48357,179,4,N,N,N,,,,,,3671225849,242795.9658,x
250,252,98,Hansford,Amarillo,98,48195,99,4,N,N,N,,,,,,3676774260,242591.7878,x
251,253,211,Sherman,Amarillo,211,48421,211,4,N,N,N,,,,,,3685492310,242891.5064,x
252,254,56,Dallam,Amarillo,56,48111,56,4,N,N,N,,,,,,6010911071,318585.8382,x
